date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2018-07-04 01:00:00,Houston Dynamo,Los Angeles FC,2,2,-0.5,1.99,1.9100000000000001,+3.25,1.9300000000000002,1.95
2018-07-04 23:00:00,Minnesota United,Toronto FC,4,3,0,2.1,1.81,+3,1.94,1.94
2018-07-05 00:00:00,FC Dallas,Atlanta Utd,3,2,-0.25,2.05,1.85,+3,2.08,1.81
2018-07-05 01:00:00,Colorado Rapids,Seattle Sounders,1,2,-0.25,2.0700000000000003,1.83,+2.5,1.99,1.8900000000000001
2018-07-05 02:00:00,Real Salt Lake,Sporting Kansas City,4,2,0,1.85,2.05,+2.75,2.05,1.83
2018-07-05 02:30:00,Los Angeles Galaxy,DC United,2,2,-0.75,1.81,2.1,+3,1.81,2.08
2018-07-07 23:00:00,Philadelphia Union,Atlanta Utd,0,2,-0.25,2.09,1.8199999999999998,+3.25,2.0300000000000002,1.85
2018-07-07 23:30:00,New England Revolution,Seattle Sounders,0,0,-0.75,1.8399999999999999,2.06,+3,2.0,1.88
2018-07-07 23:30:00,Club de Foot Montreal,Colorado Rapids,2,1,-0.75,1.8199999999999998,2.08,+2.75,1.92,1.96
2018-07-08 00:30:00,Sporting Kansas City,Toronto FC,2,2,-0.5,2.09,1.8199999999999998,+2.75,1.88,2.0
2018-07-08 01:00:00,Houston Dynamo,Minnesota United,3,0,-1.25,2.08,1.83,+3.25,1.92,1.96
2018-07-08 02:00:00,Real Salt Lake,FC Dallas,2,0,-0.25,1.8399999999999999,2.0700000000000003,+2.75,1.8900000000000001,1.99
2018-07-08 02:30:00,Vancouver Whitecaps,Chicago Fire,3,2,-0.75,2.0,1.9,+3,1.8399999999999999,2.04
2018-07-08 02:30:00,Los Angeles Galaxy,Columbus Crew,4,0,-0.25,1.88,2.02,+2.75,1.95,1.9300000000000002
2018-07-08 03:00:00,Portland Timbers,San Jose Earthquakes,2,1,-1,1.88,2.0300000000000002,+3.25,1.95,1.9300000000000002
2018-07-08 03:00:00,Los Angeles FC,Orlando City,4,1,-1.25,2.1100000000000003,1.8,+3.25,1.9100000000000001,1.97
2018-07-08 23:00:00,New York City,New York Red Bulls,1,0,0,1.85,2.05,+3,1.8900000000000001,1.99
2018-07-11 23:00:00,New York City,Club de Foot Montreal,3,0,-1,2.02,1.88,+3,2.02,1.85
2018-07-12 00:30:00,Chicago Fire,Philadelphia Union,3,4,-0.25,2.01,1.8900000000000001,+3,1.95,1.9300000000000002
2018-07-14 23:00:00,New York Red Bulls,Sporting Kansas City,3,2,-1,2.0,1.9,+3,1.97,1.9100000000000001
2018-07-14 23:00:00,New York City,Columbus Crew,2,0,-0.5,1.97,1.9300000000000002,+2.75,2.04,1.8399999999999999
2018-07-14 23:30:00,New England Revolution,Los Angeles Galaxy,2,3,-0.75,2.0700000000000003,1.83,+3,1.87,2.01
2018-07-14 23:30:00,Club de Foot Montreal,San Jose Earthquakes,2,0,-0.75,1.83,2.0700000000000003,+3,1.8399999999999999,2.04
2018-07-15 00:00:00,DC United,Vancouver Whitecaps,3,1,-0.75,1.8399999999999999,2.0700000000000003,+3,1.95,1.9300000000000002
